iter	Passed	Remaining
657	26913	13988
658	26951	13946
659	26991	13904
660	27029	13862
661	27077	13824
662	27130	13790
663	27182	13755
664	27231	13718
665	27274	13678
666	27325	13642
667	27375	13605
668	27421	13567
669	27467	13528
670	27513	13489
671	27560	13452
672	27606	13413
673	27649	13373
674	27700	13337
675	27747	13299
676	27795	13261
677	27847	13225
678	27893	13186
679	27932	13144
680	27977	13105
681	28019	13064
682	28070	13028
683	28126	12994
684	28181	12959
685	28236	12924
686	28283	12886
687	28328	12846
688	28373	12807
689	28420	12768
690	28466	12729
691	28510	12689
692	28559	12651
693	28608	12614
694	28646	12571
695	28691	12531
696	28741	12494
697	28781	12452
698	28820	12410
699	28858	12367
700	28901	12327
701	28942	12285
702	28976	12241
703	29020	12201
704	29068	12163
705	29118	12125
706	29164	12086
707	29211	12047
708	29263	12010
709	29308	11971
710	29348	11929
711	29391	11888
712	29434	11848
713	29477	11807
714	29525	11768
715	29573	11730
716	29611	11687
717	29654	11647
718	29699	11607
719	29747	11568
720	29792	11528
721	29839	11489
722	29884	11449
723	29928	11409
724	29974	11369
725	30016	11328
726	30059	11287
727	30100	11246
728	30141	11204
729	30185	11164
730	30229	11124
731	30282	11087
732	30327	11047
733	30374	11007
734	30415	10965
735	30454	10924
736	30500	10884
737	30539	10841
738	30579	10800
739	30617	10757
740	30660	10716
741	30705	10676
742	30755	10638
743	30804	10599
744	30842	10556
745	30885	10516
746	30928	10475
747	30972	10434
748	31015	10393
749	31057	10352
750	31102	10312
751	31152	10273
752	31198	10233
753	31239	10192
754	31273	10148
755	31311	10105
756	31347	10062
757	31387	10020
758	31428	9979
759	31469	9937
760	31511	9896
761	31551	9854
762	31597	9814
763	31643	9774
764	31695	9736
765	31737	9695
766	31774	9652
767	31818	9611
768	31861	9570
769	31911	9532
770	31957	9492
771	32007	9452
772	32052	9412
773	32099	9372
774	32132	9328
775	32175	9287
776	32218	9246
777	32260	9205
778	32308	9165
779	32353	9125
780	32399	9085
781	32444	9044
782	32488	9003
783	32527	8961
784	32580	8923
785	32623	8882
786	32668	8841
787	32715	8801
788	32758	8760
789	32800	8719
790	32837	8676
791	32879	8635
792	32924	8594
793	32972	8554
794	33018	8514
795	33058	8472
796	33104	8431
797	33152	8391
798	33197	8351
799	33241	8310
800	33284	8269
801	33326	8227
802	33377	8188
803	33420	8147
804	33470	8107
805	33523	8069
806	33574	8029
807	33617	7988
808	33663	7947
809	33703	7905
810	33743	7863
811	33788	7823
812	33833	7782
813	33882	7742
814	33922	7700
815	33959	7657
816	34004	7616
817	34105	7588
818	34180	7553
819	34239	7516
820	34284	7474
821	34322	7432
822	34366	7391
823	34409	7349
824	34452	7308
825	34494	7266
826	34539	7225
827	34582	7183
828	34630	7143
829	34678	7102
830	34717	7060
831	34756	7018
832	34800	6976
833	34845	6935
834	34885	6893
835	34927	6851
836	34968	6809
837	35007	6767
838	35048	6725
839	35091	6684
840	35138	6643
841	35183	6602
842	35224	6560
843	35272	6519
844	35319	6478
845	35358	6436
846	35400	6394
847	35445	6353
848	35482	6310
849	35524	6268
850	35567	6227
851	35603	6184
852	35646	6142
853	35695	6102
854	35740	6061
855	35784	6019
856	35829	5978
857	35875	5937
858	35925	5896
859	35966	5855
860	36016	5814
861	36063	5773
862	36119	5733
863	36160	5691
864	36202	5650
865	36252	5609
866	36303	5569
867	36361	5529
868	36410	5488
869	36451	5446
870	36500	5405
871	36552	5365
872	36594	5323
873	36638	5281
874	36677	5239
875	36727	5198
876	36771	5157
877	36816	5115
878	36860	5074
879	36902	5032
880	36946	4990
881	36990	4948
882	37032	4906
883	37073	4864
884	37116	4823
885	37157	4780
886	37202	4739
887	37244	4697
888	37284	4655
889	37326	4613
890	37369	4571
891	37411	4529
892	37451	4487
893	37497	4445
894	37541	4404
895	37586	4362
896	37630	4321
897	37664	4278
898	37703	4235
899	37742	4193
900	37781	4151
901	37822	4109
902	37863	4067
903	37903	4025
904	37946	3983
905	37990	3941
906	38028	3899
907	38065	3856
908	38104	3814
909	38144	3772
910	38186	3730
911	38226	3688
912	38262	3646
913	38302	3603
914	38343	3561
915	38385	3520
916	38423	3477
917	38463	3435
918	38502	3393
919	38543	3351
920	38585	3309
921	38631	3268
922	38666	3225
923	38710	3183
924	38755	3142
925	38787	3099
926	38825	3057
927	38870	3015
928	38922	2974
929	38965	2932
930	39011	2891
931	39057	2849
932	39100	2807
933	39143	2766
934	39188	2724
935	39235	2682
936	39284	2641
937	39331	2599
938	39377	2558
939	39412	2515
940	39452	2473
941	39494	2431
942	39542	2390
943	39583	2348
944	39622	2306
945	39659	2263
946	39700	2221
947	39747	2180
948	39793	2138
949	39845	2097
950	39892	2055
951	39938	2013
952	39976	1971
953	40014	1929
954	40051	1887
955	40087	1845
956	40127	1803
957	40165	1760
958	40209	1719
959	40246	1676
960	40287	1634
961	40330	1593
962	40368	1551
963	40410	1509
964	40447	1467
965	40487	1425
966	40530	1383
967	40569	1341
968	40610	1299
969	40649	1257
970	40687	1215
971	40725	1173
972	40761	1131
973	40800	1089
974	40839	1047
975	40880	1005
976	40923	963
977	40964	921
978	41007	879
979	41045	837
980	41085	795
981	41127	753
982	41168	711
983	41208	670
984	41255	628
985	41292	586
986	41332	544
987	41377	502
988	41417	460
989	41457	418
990	41501	376
991	41546	335
992	41591	293
993	41641	251
994	41680	209
995	41724	167
996	41763	125
997	41805	83
998	41853	41
999	41904	0
